timestamp,left_ear,right_ear,avg_ear,is_blinking,blink_count,h_gaze,v_gaze,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,iris_relative_x,iris_relative_y
1743122684.905747,0.5334750230765946,0.5642676875898783,0.5488713553332365,False,9,Right,Down,530,323,663,323,0.048479188560583655,0.02913114180398796
1743122684.939567,0.5368862164064361,0.5653773572794845,0.5511317868429603,False,9,Right,Down,530,324,663,323,0.04567801286015457,0.033973034703245586
1743122684.972573,0.536926389011592,0.5572413259033051,0.5470838574574486,False,9,Right,Down,530,324,663,323,0.049366710760185464,0.03281531341630789
1743122685.005997,0.5361817401209846,0.5561604544719718,0.5461710972964782,False,9,Right,Down,530,324,662,323,0.044278536154035326,0.006821499332264003
1743122685.040478,0.540879953130887,0.5568761672813217,0.5488780602061043,False,9,Right,Down,530,324,662,323,0.03962470966494325,0.02076373464847242
1743122685.073493,0.530299061686847,0.5699657574533974,0.5501324095701222,False,9,Right,Down,529,324,662,323,0.03693423926529182,0.03554555605822324
1743122685.106296,0.5356486878243306,0.5739093897842996,0.5547790388043151,False,9,Right,Down,529,324,662,324,0.03841500175741337,0.03941531024557193
1743122685.139597,0.5397473414983621,0.5757404951792818,0.557743918338822,False,9,Right,Down,529,324,662,324,0.0418456051815406,0.028176689591950244
1743122685.1728158,0.5365686917545324,0.5814083878153169,0.5589885397849246,False,9,Right,Down,529,324,662,324,0.039054332718602425,0.04133158530358344
1743122685.205951,0.5405738234894277,0.5664424777864266,0.5535081506379271,False,9,Right,Down,529,324,662,323,0.04126275527147812,0.03154947267121072
1743122685.239359,0.5653748860055682,0.5759987895953311,0.5706868378004497,False,9,Right,Down,528,324,662,324,0.04382895025087294,0.03476880754981143
1743122685.273041,0.49920822057561237,0.5353595006119213,0.5172838605937669,False,9,Right,Down,526,326,659,324,0.007186850935352243,0.07814466037494477
1743122685.307085,0.5213356236496601,0.5416450828785605,0.5314903532641103,False,9,Right,Down,525,325,658,324,0.0035789457940181985,0.08835526360224982
